bay_id,lat,lon,has_restriction_data
56910,-37.81707745376239,144.956168806464,True
61428,-37.81846081686636,144.95982690855809,True
61420,-37.81830361037068,144.96036726191556,True
10724,-37.80445425492435,144.95099990948202,True
9621,-37.804978220013204,144.9486693904018,True
9429,-37.80458527536205,144.95741928765096,True
9430,-37.80461115168945,144.9574147083638,True
18204,-37.81344584496112,144.9392419546055,True
24004,-37.813702305712596,144.93951655864066,True
24280,-37.81327536546101,144.94199296361913,True
13444,-37.81961385206357,144.94424841015024,True
8889,-37.80488630509279,144.9599071396808,True
9615,-37.80409427609854,144.94934437180626,True
9620,-37.804981358709085,144.94869750073525,True
9645,-37.80508173668994,144.9486606766646,True
20913,-37.82050897624245,144.94553800007716,True
10678,-37.80560674472771,144.9543577623706,True
11792,-37.800379988576154,144.95560825525052,True
12029,-37.798338082915045,144.9530434331918,True
15024,-37.813842991341765,144.94112476903723,True
12082,-37.80043568759527,144.9538722936449,True
12079,-37.80055575892091,144.95372002436,True
16174,-37.80059580560131,144.95366943998505,True
22022,-37.79921728447782,144.95361915083737,True
17342,-37.821134546266755,144.94670364133466,True
9435,-37.804714647547314,144.95739641052012,True
9438,-37.804792270217575,144.95738268699415,True
9439,-37.80481724676879,144.95737826911414,True
9425,-37.80450765133169,144.95743300702912,True
14991,-37.813104291670655,144.93674327010285,True
14998,-37.81414342826124,144.93736491809432,True
14997,-37.81443301063047,144.9375402290621,True
14994,-37.81428979308582,144.9374532925529,True
14795,-37.81276044533954,144.9365268912452,True
14996,-37.81424102885472,144.9374236351444,True
14794,-37.81270846847291,144.93649542397023,True
9471,-37.80578555699063,144.95720698083218,True
24038,-37.80527148638663,144.9571850658472,True
24040,-37.80521974641346,144.95719414016145,True
9445,-37.805088125799216,144.95733033851928,False
9451,-37.80521972507455,144.9573070430717,True
9466,-37.805608925532866,144.95723821296409,True
9464,-37.80555715049627,144.9572473661484,True
9450,-37.80519340002496,144.9573116969779,True
9442,-37.80493178364415,144.95735802135704,True
24048,-37.804827598941316,144.95726228510551,True
23976,-37.8045478801612,144.95731168970116,True
23979,-37.804471593223425,144.95732516448777,True
15096,-37.821337911719226,144.94386644680426,True
20601,-37.82036084918549,144.94716161244844,True
