bay_id,slot_num,lat,lon,status,typedesc,fromday,today,starttime,endtime,duration_mins,disabilityext_mins,plain_english,is_active_now,is_strict,rule_category
11943,1.0,-37.80157667692333,144.95489135251938,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11943,2.0,-37.80157667692333,144.95489135251938,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
11943,3.0,-37.80157667692333,144.95489135251938,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
11943,4.0,-37.80157667692333,144.95489135251938,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12030,1.0,-37.79837334237603,144.95308777517064,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12030,2.0,-37.79837334237603,144.95308777517064,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12030,3.0,-37.79837334237603,144.95308777517064,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12030,4.0,-37.79837334237603,144.95308777517064,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12031,1.0,-37.79842653247071,144.95315447010427,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12031,2.0,-37.79842653247071,144.95315447010427,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12031,3.0,-37.79842653247071,144.95315447010427,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12031,4.0,-37.79842653247071,144.95315447010427,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12076,1.0,-37.80090875683292,144.95327369052112,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12076,2.0,-37.80090875683292,144.95327369052112,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12076,3.0,-37.80090875683292,144.95327369052112,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12076,4.0,-37.80090875683292,144.95327369052112,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12091,1.0,-37.80049100911073,144.95413891553204,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12091,2.0,-37.80049100911073,144.95413891553204,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12091,3.0,-37.80049100911073,144.95413891553204,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12091,4.0,-37.80049100911073,144.95413891553204,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12094,1.0,-37.80061171476536,144.9539859172739,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12094,2.0,-37.80061171476536,144.9539859172739,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12094,3.0,-37.80061171476536,144.9539859172739,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12094,4.0,-37.80061171476536,144.9539859172739,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12112,1.0,-37.79858840728779,144.95212787634355,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12112,2.0,-37.79858840728779,144.95212787634355,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12112,3.0,-37.79858840728779,144.95212787634355,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12112,4.0,-37.79858840728779,144.95212787634355,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12112,5.0,-37.79858840728779,144.95212787634355,Absent,PP,1,6,07:30,18:30,,,Restriction: PP. Check the physical sign for full details.,False,False,other
12113,1.0,-37.798604286082465,144.952107633023,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12113,2.0,-37.798604286082465,144.952107633023,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12113,3.0,-37.798604286082465,144.952107633023,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12113,4.0,-37.798604286082465,144.952107633023,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12113,5.0,-37.798604286082465,144.952107633023,Absent,PP,1,6,07:30,18:30,,,Restriction: PP. Check the physical sign for full details.,False,False,other
12118,1.0,-37.79870590145744,144.9519784768766,Absent,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12118,2.0,-37.79870590145744,144.9519784768766,Absent,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12118,3.0,-37.79870590145744,144.9519784768766,Absent,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12118,4.0,-37.79870590145744,144.9519784768766,Absent,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12118,5.0,-37.79870590145744,144.9519784768766,Absent,PP,1,6,07:30,18:30,,,Restriction: PP. Check the physical sign for full details.,False,False,other
12123,1.0,-37.79881275931803,144.9518417324066,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12123,2.0,-37.79881275931803,144.9518417324066,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12123,3.0,-37.79881275931803,144.9518417324066,Present,4P,6,6,07:30,12:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12123,4.0,-37.79881275931803,144.9518417324066,Present,4P,1,5,07:30,18:30,240,,Park for up to 4 hours. No payment required.,False,False,timed
12123,5.0,-37.79881275931803,144.9518417324066,Present,PP,1,6,07:30,18:30,,,Restriction: PP. Check the physical sign for full details.,False,False,other
12125,1.0,-37.798846412573006,144.95179886613525,Present,2P,1,5,07:30,18:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
12125,2.0,-37.798846412573006,144.95179886613525,Present,2P,6,6,07:30,12:30,120,,Park for up to 2 hours. No payment required.,False,False,timed
