name,description,lat,lng
St Kilda Road between Commercial Road and Moubray Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8462496<br>Longitude: 144.9794792<br>Latitude: -37.8462496<br>Longitude: 144.9794792<br>﻿UsageType: Disable Parking,-37.84625,144.979479
Spring Street between Lonsdale Street and Little Lonsdale Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8091757<br>Longitude: 144.9719237<br>Latitude: -37.8091757<br>Longitude: 144.9719237<br>﻿UsageType: Disable Parking,-37.809176,144.971924
Spring Street between Lonsdale Street and Little Lonsdale Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8091253<br>Longitude: 144.9719004<br>Latitude: -37.8091253<br>Longitude: 144.9719004<br>﻿UsageType: Disable Parking,-37.809125,144.9719
Spring Street between Flinders Street and Flinders Lane,description: ﻿UsageType: Disable Parking<br>Latitude: -37.814933<br>Longitude: 144.9748266<br>Latitude: -37.814933<br>Longitude: 144.9748266<br>﻿UsageType: Disable Parking,-37.814933,144.974827
Spring Street between Flinders Lane and Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8138139<br>Longitude: 144.9740936<br>Latitude: -37.8138139<br>Longitude: 144.9740936<br>﻿UsageType: Disable Parking,-37.813814,144.974094
Spring Street between Collins Street and Little Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8131096<br>Longitude: 144.9737304<br>Latitude: -37.8131096<br>Longitude: 144.9737304<br>﻿UsageType: Disable Parking,-37.81311,144.97373
Spring Street between Collins Street and Little Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8130615<br>Longitude: 144.9737083<br>Latitude: -37.8130615<br>Longitude: 144.9737083<br>﻿UsageType: Disable Parking,-37.813062,144.973708
Spring Street between Collins Street and Little Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8130141<br>Longitude: 144.9736864<br>Latitude: -37.8130141<br>Longitude: 144.9736864<br>﻿UsageType: Disable Parking,-37.813014,144.973686
Spencer Street between Stanley Street and Roden Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8080585<br>Longitude: 144.9484298<br>Latitude: -37.8080585<br>Longitude: 144.9484298<br>﻿UsageType: Disable Parking,-37.808058,144.94843
Spencer Street between Bourke Street and Little Bourke Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8168556<br>Longitude: 144.9529969<br>Latitude: -37.8168556<br>Longitude: 144.9529969<br>﻿UsageType: Disable Parking,-37.816856,144.952997
Speakmen Street between Stockmans Way and Smithfield Road,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7941812<br>Longitude: 144.9163407<br>Latitude: -37.7941812<br>Longitude: 144.9163407<br>﻿UsageType: Disable Parking,-37.794181,144.916341
Speakmen Street between Stockmans Way and Smithfield Road,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7942843<br>Longitude: 144.9162236<br>Latitude: -37.7942843<br>Longitude: 144.9162236<br>﻿UsageType: Disable Parking,-37.794284,144.916224
Speakmen Street between Stockmans Way and Smithfield Road,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7942803<br>Longitude: 144.9161932<br>Latitude: -37.7942803<br>Longitude: 144.9161932<br>﻿UsageType: Disable Parking,-37.79428,144.916193
Southgate Avenue between City Road and Riverside Avenue,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8205001<br>Longitude: 144.9678454<br>Latitude: -37.8205001<br>Longitude: 144.9678454<br>﻿UsageType: Disable Parking,-37.8205,144.967845
Southgate Avenue between City Road and Riverside Avenue,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8204564<br>Longitude: 144.9677912<br>Latitude: -37.8204564<br>Longitude: 144.9677912<br>﻿UsageType: Disable Parking,-37.820456,144.967791
Slater Street from St Kilda Road,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8389072<br>Longitude: 144.9770337<br>Latitude: -37.8389072<br>Longitude: 144.9770337<br>﻿UsageType: Disable Parking,-37.838907,144.977034
Simpson Street between Albert Street and Victoria Parade,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8099974<br>Longitude: 144.9890586<br>Latitude: -37.8099974<br>Longitude: 144.9890586<br>﻿UsageType: Disable Parking,-37.809997,144.989059
Siddeley Street between Spencer Street and Wurundjeri Way,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8222016<br>Longitude: 144.9537652<br>Latitude: -37.8222016<br>Longitude: 144.9537652<br>﻿UsageType: Disable Parking,-37.822202,144.953765
Shiel Street between Dryburgh Street and Canning Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7964991<br>Longitude: 144.9424387<br>Latitude: -37.7964991<br>Longitude: 144.9424387<br>﻿UsageType: Disable Parking,-37.796499,144.942439
Shiel Street between Dryburgh Street and Canning Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7964121<br>Longitude: 144.942345<br>Latitude: -37.7964121<br>Longitude: 144.942345<br>﻿UsageType: Disable Parking,-37.796412,144.942345
Russell Street between Little Collins Street and Bourke Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8131234<br>Longitude: 144.9681318<br>Latitude: -37.8131234<br>Longitude: 144.9681318<br>﻿UsageType: Disable Parking,-37.813123,144.968132
Russell Street between La Trobe Street and MacKenzie Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8086585<br>Longitude: 144.9660899<br>Latitude: -37.8086585<br>Longitude: 144.9660899<br>﻿UsageType: Disable Parking,-37.808658,144.96609
Russell Street between Flinders Lane and Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.81523<br>Longitude: 144.9691071<br>Latitude: -37.81523<br>Longitude: 144.9691071<br>﻿UsageType: Disable Parking,-37.81523,144.969107
Russell Street between Collins Street and Little Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8141926<br>Longitude: 144.9686245<br>Latitude: -37.8141926<br>Longitude: 144.9686245<br>﻿UsageType: Disable Parking,-37.814193,144.968624
Russell Street between Collins Street and Little Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8141437<br>Longitude: 144.9686018<br>Latitude: -37.8141437<br>Longitude: 144.9686018<br>﻿UsageType: Disable Parking,-37.814144,144.968602
Russell Street between Collins Street and Little Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8140947<br>Longitude: 144.968579<br>Latitude: -37.8140947<br>Longitude: 144.968579<br>﻿UsageType: Disable Parking,-37.814095,144.968579
Russell Street between Collins Street and Little Collins Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8140247<br>Longitude: 144.9685466<br>Latitude: -37.8140247<br>Longitude: 144.9685466<br>﻿UsageType: Disable Parking,-37.814025,144.968547
Russell Street between Bourke Street and Little Bourke Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.8124253<br>Longitude: 144.9678123<br>Latitude: -37.8124253<br>Longitude: 144.9678123<br>﻿UsageType: Disable Parking,-37.812425,144.967812
Russell Street between Bourke Street and Little Bourke Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.811937<br>Longitude: 144.9678394<br>Latitude: -37.811937<br>Longitude: 144.9678394<br>﻿UsageType: Disable Parking,-37.811937,144.967839
Royal Parade between Morrah Street and Story Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7961459<br>Longitude: 144.9577768<br>Latitude: -37.7961459<br>Longitude: 144.9577768<br>﻿UsageType: Disable Parking,-37.796146,144.957777
Royal Parade between Morrah Street and Story Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7960807<br>Longitude: 144.9577848<br>Latitude: -37.7960807<br>Longitude: 144.9577848<br>﻿UsageType: Disable Parking,-37.796081,144.957785
Royal Parade between Ievers Street and Walker Street,description: ﻿UsageType: Disable Parking<br>Latitude: -37.7839111<br>Longitude: 144.9592831<br>Latitude: -37.7839111<br>Longitude: 144.9592831<br>﻿UsageType: Disable Parking,-37.783911,144.959283
