bay_id,slot,type_desc,category,from_day,to_day,from_day_name,to_day_name,days_human,start_time_human,end_time_human,duration_mins,duration_human,disability_ext_mins,disability_ext_human,effective_on_ph,exemption,plain_english,active_now
1726,2,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,7:30am,1440,24 hours,0,,True,All Other Times,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 12am to 7:30am. Also applies on public holidays.,False
1726,3,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
4345,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
4345,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
3723,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,12am,11:59pm,120,2 hours,0,,False,Disabled Logo,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 12am to 11:59pm.,True
7927,2,2P Disabled Only,disability,0,0,Sunday,Sunday,Sundays only,7:30am,10pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Sundays only 7:30am to 10pm.,False
6273,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,6:30pm,11:59pm,1440,24 hours,0,,True,Disabled Logo,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 6:30pm to 11:59pm. Also applies on public holidays.,False
6273,2,2P Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Saturday 7:30am to 6:30pm.,True
1007,1,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
1007,2,4P Disabled Only,disability,0,0,Sunday,Sunday,Sundays only,8:30pm,11:59pm,240,4 hours,0,,True,,Disability permit holders only — max stay 4 hours. Applies Sundays only 8:30pm to 11:59pm. Also applies on public holidays.,False
874,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
874,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
2288,1,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,7:30am,4pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 7:30am to 4pm.,True
2288,2,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,6:30pm,7:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 6:30pm to 7:30pm.,False
2288,3,2P Disabled Only,disability,6,6,Saturday,Saturday,Saturdays only,7:30am,7:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Saturdays only 7:30am to 7:30pm.,False
2288,4,2P Disabled Only,disability,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Sundays only 7:30am to 6:30pm.,False
1919,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
1919,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
589,1,Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,8:30pm,11:59pm,1440,24 hours,0,,True,,Disability permit holders only — max stay 24 hours. Applies Monday to Sunday 8:30pm to 11:59pm. Also applies on public holidays.,False
589,2,2P Disabled Only,disability,1,0,Monday,Sunday,Monday to Sunday,7:30am,8:30pm,120,2 hours,0,,True,,Disability permit holders only — max stay 2 hours. Applies Monday to Sunday 7:30am to 8:30pm. Also applies on public holidays.,True
2287,1,2P Disabled Only,disability,1,5,Monday,Friday,Monday to Friday,7:30am,4pm,120,2 hours,0,,False,,Disability permit holders only — max stay 2 hours. Applies Monday to Friday 7:30am to 4pm.,True
