bay_id,slot,type_desc,category,from_day,to_day,from_day_name,to_day_name,days_human,start_time_human,end_time_human,duration_mins,duration_human,disability_ext_mins,disability_ext_human,effective_on_ph,exemption,plain_english,active_now
4573,1,2P Meter,timed_paid,1,5,Monday,Friday,Monday to Friday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Friday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
4573,2,2P Meter,timed_paid,6,6,Saturday,Saturday,Saturdays only,7:30am,12:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Saturdays only between 7:30am to 12:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
8835,1,4P Disabled Only,disability,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,240,4 hours,0,,True,,Disability permit holders only — max stay 4 hours. Applies Monday to Saturday 7:30am to 6:30pm. Also applies on public holidays.,True
6232,1,2P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,True
6232,2,2P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,120,2 hours,240,4 hours,False,,Park for up to 2 hours on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 4 hours. Free to park outside these hours.,False
6230,1,Loading Zone 30M,loading,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,30,30 minutes,0,,False,,Loading zone — commercial vehicles only on Monday to Sunday 7:30am to 6:30pm. Regular parking allowed outside these hours.,True
5452,1,1P,timed_free,6,0,Saturday,Sunday,weekends,7:30am,6:30pm,60,1 hour,120,2 hours,False,,Park for up to 1 hour on weekends between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 2 hours. Free to park outside these hours.,False
6618,1,Loading Zone 30M 722,loading,1,0,Monday,Sunday,Monday to Sunday,7:30am,6:30pm,30,30 minutes,0,,True,,Loading zone — commercial vehicles only on Monday to Sunday 7:30am to 6:30pm. Regular parking allowed outside these hours. Also applies on public holidays.,True
5128,1,3P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,180,3 hours,360,6 hours,False,,Park for up to 3 hours on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 6 hours. Free to park outside these hours.,True
5128,2,3P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,180,3 hours,360,6 hours,False,,Park for up to 3 hours on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 6 hours. Free to park outside these hours.,False
8612,1,2P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,11pm,120,2 hours,240,4 hours,True,Resident Permit Area 1B,Park for up to 2 hours on Monday to Sunday between 7:30am to 11pm. No payment required. Disability permit holders may stay up to 4 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
5121,1,3P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,6:30pm,180,3 hours,360,6 hours,False,,Park for up to 3 hours on Monday to Saturday between 7:30am to 6:30pm. Pay at the meter. Disability permit holders may stay up to 6 hours. Free to park outside these hours.,True
5121,2,3P,timed_free,0,0,Sunday,Sunday,Sundays only,7:30am,6:30pm,180,3 hours,360,6 hours,False,,Park for up to 3 hours on Sundays only between 7:30am to 6:30pm. No payment required. Disability permit holders may stay up to 6 hours. Free to park outside these hours.,False
8510,1,2P,timed_free,1,0,Monday,Sunday,Monday to Sunday,7:30am,11pm,120,2 hours,240,4 hours,True,Resident Permit Area 1B,Park for up to 2 hours on Monday to Sunday between 7:30am to 11pm. No payment required. Disability permit holders may stay up to 4 hours. Exempt: Resident Permit Area 1B. Free to park outside these hours. Also applies on public holidays.,True
652,1,3P Meter,timed_paid,1,6,Monday,Saturday,Monday to Saturday,7:30am,8:30pm,180,3 hours,360,6 hours,False,,Park for up to 3 hours on Monday to Saturday between 7:30am to 8:30pm. Pay at the meter. Disability permit holders may stay up to 6 hours. Free to park outside these hours.,True
