RoadSegmentID,KerbsideID,RoadSegmentDescription,Latitude,Longitude,LastUpdated,Location
21847,50624,Spring Street between Little Lonsdale Street and Victoria Parade,-37.8082699,144.9717549,2023-10-31,"-37.8082699, 144.9717549"
21479,,Rosslyn Street between Adderley Street and Spencer Street,-37.8096466,144.9488372,2023-10-31,"-37.8096466, 144.9488372"
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8048388,144.9553354,2023-10-31,"-37.8048388, 144.9553354"
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8049163,144.9553214,2023-10-31,"-37.8049163, 144.9553214"
22855,15008,Doepel Way between Docklands Drive and Newquay Promenade,-37.8144236,144.9398666,2023-10-31,"-37.8144236, 144.9398666"
20558,16228,Rathdowne Street between Pelham Street and Grattan Street,-37.8016571,144.9698652,2024-10-30,"-37.8016571, 144.9698652"
20558,16215,Rathdowne Street between Pelham Street and Grattan Street,-37.8023363,144.9697481,2024-10-30,"-37.8023363, 144.9697481"
20556,33847,Rathdowne Street between Queensberry Street and Pelham Street,-37.8038348,144.969338,2024-10-30,"-37.8038348, 144.969338"
20556,33834,Rathdowne Street between Queensberry Street and Pelham Street,-37.8045394,144.9692244,2024-10-30,"-37.8045394, 144.9692244"
20554,,Rathdowne Street between Victoria Street and Queensberry Street,-37.8062473,144.9689324,2024-11-15,"-37.8062473, 144.9689324"
20554,,Rathdowne Street between Victoria Street and Queensberry Street,-37.80697,144.9687693,2024-11-15,"-37.80697, 144.9687693"
21348,,Miller Street between Curzon Street and Abbotsford Street,-37.8057567,144.945425,2023-10-31,"-37.8057567, 144.945425"
20195,,King Street between Little Lonsdale Street and La Trobe Street,-37.8132144,144.9541529,2023-12-08,"-37.8132144, 144.9541529"
20839,,Lincoln Square North between Swanston Street and Bouverie Street,-37.8016347,144.9634352,2024-11-04,"-37.8016347, 144.9634352"
20839,35539,Lincoln Square North between Swanston Street and Bouverie Street,-37.8016383,144.9627367,2024-11-14,"-37.8016383, 144.9627367"
20839,,Lincoln Square North between Swanston Street and Bouverie Street,-37.8016153,144.9632623,2024-11-04,"-37.8016153, 144.9632623"
20839,35519,Lincoln Square North between Swanston Street and Bouverie Street,-37.8015625,144.9627929,2024-11-14,"-37.8015625, 144.9627929"
20143,,Exhibition Street between Little Bourke Street and Lonsdale Street,-37.8107438,144.9700512,2024-11-19,"-37.8107438, 144.9700512"
20897,16418,Eades Street between Victoria Parade and Albert Street,-37.8097852,144.9810909,2023-10-31,"-37.8097852, 144.9810909"
20897,16412,Eades Street between Victoria Parade and Albert Street,-37.8097254,144.9811008,2023-10-31,"-37.8097254, 144.9811008"
20897,16409,Eades Street between Victoria Parade and Albert Street,-37.8096137,144.9811193,2023-10-31,"-37.8096137, 144.9811193"
21842,,Hobsons Road between Kensington Road and Stock Bridge,-37.7958275,144.9171689,2023-10-31,"-37.7958275, 144.9171689"
20931,9469,Cobden Street between Victoria Street and Princess Street,-37.8057215,144.957222,2023-10-31,"-37.8057215, 144.957222"
